Scientificname,Biologicalname,Medicinalvalue,Family,CommonUses,ActiveCompounds,ToxicityLevel,GeographicalDistribution,GrowthHabit,PartsUsed,PreparationMethods,ConservationStatus
Abelmoschus sagittifolius,Arrowleaf Sida,Used for treating inflammation and digestive issues.,Malvaceae,"Traditional remedy for inflammation, digestive issues","Flavonoids, tannins",Low,Tropical Asia,Herb,Leaves,Decoction,Not Evaluated
Abrus precatorius,Rosary Pea,"Used for anti-inflammatory and analgesic properties, but highly toxic if not prepared correctly.",Fabaceae,"Anti-inflammatory, analgesic","Abrin (toxic compound)",High,Tropical regions,Vine,Seeds,Controlled extraction,Not Evaluated
Abutilon indicum,Indian Mallow,"Used for its anti-inflammatory, analgesic, and antimicrobial properties.",Malvaceae,"Anti-inflammatory, antimicrobial","Flavonoids, alkaloids",Low,India,Shrub,Leaves,Infusion,Not Evaluated
Acanthus integrifolius,Thorny Oyster Plant,Used for its anti-inflammatory and wound-healing properties.,Acanthaceae,"Wound healing, anti-inflammatory","Saponins, flavonoids",Low,Southeast Asia,Herb,Leaves,Poultice,Not Evaluated
Acorus tatarinowii,Sweet Flag,"Used for digestive aid, anti-inflammatory, and calming properties.",Acoraceae,"Digestive aid, calming","Asarone, beta-asarone",Moderate,East Asia,Herb,Rhizome,Decoction,Not Evaluated
Agave americana,Century Plant,"Used for its wound healing, digestive aid, and as a laxative.",Asparagaceae,"Wound healing, laxative","Saponins, inulin",Low,Americas,Succulent,Leaves,Gel extraction,Not Evaluated
Ageratum conyzoides,Goatweed,"Used for its anti-inflammatory, analgesic, and antimicrobial properties.",Asteraceae,"Anti-inflammatory, antimicrobial","Coumarins, flavonoids",Low,Tropical regions,Herb,Leaves,Infusion,Not Evaluated
Allium ramosum,Chinese Chives,Used for its antioxidant properties and digestive aid.,Amaryllidaceae,"Antioxidant, digestive aid","Allicin, flavonoids",Low,East Asia,Herb,Bulbs,Raw or cooked,Not Evaluated
Alocasia macrorrhizos,Giant Taro,Used for its anti-inflammatory and wound healing properties.,Araceae,"Anti-inflammatory, wound healing","Oxalates, flavonoids",Moderate,Southeast Asia,Herb,Leaves,Poultice,Not Evaluated
Aloe vera,Aloe,"Used for its soothing, moisturizing, and healing properties for skin.",Asphodelaceae,"Skin healing, moisturizing","Aloin, polysaccharides",Low,Global,Succulent,Leaves,Gel extraction,Not Evaluated
Alpinia officinarum,Galangal,Used for digestive issues and anti-inflammatory properties.,Zingiberaceae,"Digestive aid, anti-inflammatory","Galangin, flavonoids",Low,Southeast Asia,Herb,Rhizome,Decoction,Not Evaluated
Amomum longiligulare,Cardamom,Used for digestive aid and respiratory health.,Zingiberaceae,"Digestive aid, respiratory health","Cineole, terpenes",Low,India,Herb,Seeds,Infusion,Not Evaluated
Ampelopsis cantoniensis,Chinese Ampelopsis,Used for its anti-inflammatory and analgesic effects.,Vitaceae,"Anti-inflammatory, analgesic","Resveratrol, flavonoids",Low,China,Vine,Leaves,Decoction,Not Evaluated
Andrographis paniculata,King of Bitters,Used for immune support and anti-inflammatory properties.,Acanthaceae,"Immune support, anti-inflammatory","Andrographolide, flavonoids",Low,India,Herb,Leaves,Infusion,Not Evaluated
Angelica dahurica,Dahurian Angelica,"Used for treating headaches, colds, and respiratory issues.",Apiaceae,"Headache relief, respiratory health","Coumarins, essential oils",Moderate,East Asia,Herb,Roots,Decoction,Not Evaluated
Ardisia sylvestris,Wild Ardisia,Used for its anti-inflammatory and analgesic properties.,Primulaceae,"Anti-inflammatory, analgesic","Triterpenoids, flavonoids",Low,Southeast Asia,Shrub,Leaves,Infusion,Not Evaluated
Artemisia vulgaris,Mugwort,"Used for digestive health, menstrual regulation, and as a herbal remedy for anxiety.",Asteraceae,"Digestive health, menstrual regulation","Thujone, flavonoids",Moderate,Global,Herb,Leaves,Infusion,Not Evaluated
Artocarpus altilis,Breadfruit,Rich in nutrients; used for digestive health and as a food source.,Moraceae,"Digestive health, food source","Fiber, vitamins",Low,Pacific Islands,Tree,Fruit,Raw or cooked,Not Evaluated
Artocarpus heterophyllus,Jackfruit,Used for its antioxidant properties and digestive benefits.,Moraceae,"Antioxidant, digestive health","Carotenoids, flavonoids",Low,South Asia,Tree,Fruit,Raw or cooked,Not Evaluated
Artocarpus lakoocha,Monkey Jack,Used for its anti-inflammatory and antibacterial properties.,Moraceae,"Anti-inflammatory, antibacterial","Flavonoids, tannins",Low,Southeast Asia,Tree,Bark,Decoction,Not Evaluated
Asparagus cochinchinensis,Chinese Asparagus,Used for its diuretic and anti-inflammatory properties.,Asparagaceae,"Diuretic, anti-inflammatory","Saponins, flavonoids",Low,East Asia,Herb,Roots,Decoction,Not Evaluated
